FACILITY ID,FACILITY NAME,REGION,PROGRAM CATEGORY,ASSIGNED CATEGORY,COMMUNITY TYPE,FEDERAL FACILITY,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT,wdid,npdes_permit_number,order_number,pop_cwns,pop_cwns_2042,pop_sso_csv,pop_covid,pop_served_csv,pop_source_csv,pop_growth_rate,wdid_sso,pop_served_via_rwb,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
630424,Mckinleyville CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10044,15700,15700,pop_served_via_rwb,15700,pop_served_via_rwb
630431,Mendocino City CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10045,3500,3500,pop_served_via_rwb,3500,pop_served_via_rwb
714954,Mendocino County Waterworks District 2 CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11555,150,150,pop_served_via_rwb,150,pop_served_via_rwb
630433,Miranda CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10047,550,550,pop_served_via_rwb,550,pop_served_via_rwb
630439,Oceana Marin (North Marin CWD) CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10052,350,350,pop_served_via_rwb,350,pop_served_via_rwb
646217,Palmer Creek CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11475,367,367,pop_served_via_rwb,367,pop_served_via_rwb
630345,Pelican Bay Prison CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10006,4000,4000,pop_served_via_rwb,4000,pop_served_via_rwb
630440,Point Arena Wastewater Trt.Plt CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10053,501,501,pop_served_via_rwb,501,pop_served_via_rwb
630460,Redway CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10055,1150,1150,pop_served_via_rwb,1150,pop_served_via_rwb
630463,Rio Dell City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10058,3100,3100,pop_served_via_rwb,3100,pop_served_via_rwb
630380,Rohnert Park City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10016,43958,43958,pop_served_via_rwb,43958,pop_served_via_rwb
630468,SCWA Geyserville Csd CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10063,861,861,pop_served_via_rwb,861,pop_served_via_rwb
630469,SCWA Occidental CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10064,610,610,pop_served_via_rwb,610,pop_served_via_rwb
630472,SCWA Oceanic Prop. Central Plant CS,1,SSO,RT,TRANSIENT,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10065,250,250,pop_served_via_rwb,250,pop_served_via_rwb
630479,SCWA Oceanic Prop. North Plant CS,1,SSO,RT,TRANSIENT,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10066,1156,1156,pop_served_via_rwb,1156,pop_served_via_rwb
630480,SCWA Russian River CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10067,7305,7305,pop_served_via_rwb,7305,pop_served_via_rwb
648106,Santa Rosa City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11491,179213,179213,pop_served_via_rwb,179213,pop_served_via_rwb
